codes			таблица кодов
contacts		таблица контактов пользователя (кому пользователь может отправлять объявления)
email			таблица email отправленных пользователям
logs			таблица логов
messages		таблица личных сообщений пользователей
news			таблица новостей сайта, уведомлений пользователей, рассылка пользователям
news_show_users		таблица новостей не показанных пользователям
obj_bookmarks		таблица закладок
obj_category		таблица категорий
obj_fields		таблица полей
obj_fields_values	таблица значений полей
obj_karma		таблица кармы
obj_ties		таблица связей
obj_ties_groups		таблица групп связей
obj_type		таблица типов объявлений
objects			таблица объявлений
services		таблица сервисов (соц сетей)
users 			таблица пользователей
